"X.query","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs","codigo_genoma"
"20501744","1230342.CTM_21316",1.23e-79,247,"COG0716@1|root,COG1149@1|root,COG0716@2|Bacteria,COG1149@2|Bacteria,1TRYM@1239|Firmicutes,247NM@186801|Clostridia,36I4F@31979|Clostridiaceae","186801|Clostridia","C","Flavodoxin domain","-","-","-","-","-","-","-","-","-","-","-","-","Fer4,Fer4_4,Flavodoxin_3,Flavodoxin_5","GCF_000007625.1"
"20501745","1230342.CTM_16086",4.2e-297,825,"COG3829@1|root,COG3829@2|Bacteria,1TP0E@1239|Firmicutes,247MB@186801|Clostridia,36DY7@31979|Clostridiaceae","186801|Clostridia","KT","PFAM sigma-54 factor interaction domain-containing protein","-","-","-","-","-","-","-","-","-","-","-","-","GAF_2,HTH_8,PAS,PAS_4,PAS_8,PAS_9,Sigma54_activat","GCF_000007625.1"
"20501746","1230342.CTM_16041",2.39e-99,291,"COG2816@1|root,COG2816@2|Bacteria,1V6WC@1239|Firmicutes,25B2M@186801|Clostridia,36W70@31979|Clostridiaceae","186801|Clostridia","L","nudix family","-","-","3.6.1.22","ko:K03426","ko00760,ko01100,ko04146,map00760,map01100,map04146","-","R00103,R03004,R11104","RC00002","ko00000,ko00001,ko01000","-","-","-","NUDIX","GCF_000007625.1"
"20501747","1410653.JHVC01000044_gene2129",2.41e-21,85.1,"2BAVR@1|root,324BA@2|Bacteria,1UQMY@1239|Firmicutes,24UE6@186801|Clostridia,36PDU@31979|Clostridiaceae","186801|Clostridia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GCF_000007625.1"
"20501748","1410653.JHVC01000030_gene2877",1.29e-25,97.8,"2EGKS@1|root,33ACZ@2|Bacteria,1VKRW@1239|Firmicutes,24UHR@186801|Clostridia,36N53@31979|Clostridiaceae","186801|Clostridia","S","Protein of unknown function (DUF2508)","-","-","-","-","-","-","-","-","-","-","-","-","DUF2508","GCF_000007625.1"
"20501749","1410653.JHVC01000030_gene2878",8.4e-65,201,"COG0353@1|root,COG0353@2|Bacteria,1TR87@1239|Firmicutes,2487H@186801|Clostridia,36EFC@31979|Clostridiaceae","186801|Clostridia","L","May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO","recR","-","-","ko:K06187","ko03440,map03440","-","-","-","ko00000,ko00001,ko03400","-","-","-","HHH,RecR,Toprim_4","GCF_000007625.1"
"20501750","1410653.JHVC01000030_gene2879",3.9e-63,194,"COG0718@1|root,COG0718@2|Bacteria,1VA1S@1239|Firmicutes,24MXH@186801|Clostridia,36JG6@31979|Clostridiaceae","186801|Clostridia","S","Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection","-","-","-","ko:K09747","-","-","-","-","ko00000","-","-","-","YbaB_DNA_bd","GCF_000007625.1"
"20501751","1230342.CTM_16111",4.26e-283,786,"COG2812@1|root,COG2812@2|Bacteria,1TPS9@1239|Firmicutes,247J7@186801|Clostridia,36DBN@31979|Clostridiaceae","186801|Clostridia","L","DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity","dnaX","-","2.7.7.7","ko:K02343","ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440","M00260","R00375,R00376,R00377,R00378","RC02795","ko00000,ko00001,ko00002,ko01000,ko03032,ko03400","-","-","-","DNA_pol3_delta2,DNA_pol3_gamma3","GCF_000007625.1"
"20501752","1499689.CCNN01000006_gene434",2.08e-18,78.2,"2EG1V@1|root,339TV@2|Bacteria","2|Bacteria","S","COG NOG17973 non supervised orthologous group","BT4646","-","-","-","-","-","-","-","-","-","-","-","DUF4250","GCF_000007625.1"
"20501753","1230342.CTM_16116",8.32e-20,82.4,"2BBNP@1|root,3256P@2|Bacteria,1URAH@1239|Firmicutes,24WDK@186801|Clostridia,36PB7@31979|Clostridiaceae","186801|Clostridia","S","Spo0E like sporulation regulatory protein","-","-","-","-","-","-","-","-","-","-","-","-","SpoOE-like","GCF_000007625.1"
"20501754","1230342.CTM_16121",3.46e-25,103,"2BDPM@1|root,327D6@2|Bacteria,1UT9B@1239|Firmicutes,2520C@186801|Clostridia,36S4J@31979|Clostridiaceae","186801|Clostridia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GCF_000007625.1"
"20501755","1230342.CTM_16126",2.83e-67,207,"COG0590@1|root,COG0590@2|Bacteria,1V3HZ@1239|Firmicutes,24JM2@186801|Clostridia,36IRD@31979|Clostridiaceae","186801|Clostridia","FJ","Catalyzes the deamination of adenosine to inosine at the wobble position 34 of tRNA(Arg2)","tadA","-","3.5.4.33","ko:K11991","-","-","R10223","RC00477","ko00000,ko01000,ko03016","-","-","-","MafB19-deam","GCF_000007625.1"
"20501756","1230342.CTM_16136",5.58e-85,255,"COG1309@1|root,COG1309@2|Bacteria,1VFX3@1239|Firmicutes,24GN9@186801|Clostridia,36DJI@31979|Clostridiaceae","186801|Clostridia","K","transcriptional regulator","-","-","-","ko:K09017","-","-","-","-","ko00000,ko03000","-","-","-","TetR_C_4,TetR_N","GCF_000007625.1"
"20501757","1230342.CTM_16141",4.83e-139,401,"COG0688@1|root,COG0688@2|Bacteria,1TR34@1239|Firmicutes,248VU@186801|Clostridia,36FQU@31979|Clostridiaceae","186801|Clostridia","I","Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer)","psd","-","4.1.1.65","ko:K01613","ko00564,ko01100,ko01110,map00564,map01100,map01110","M00093","R02055","RC00299","ko00000,ko00001,ko00002,ko01000","-","-","-","PS_Dcarbxylase","GCF_000007625.1"
"20501758","1410653.JHVC01000030_gene2893",5.19e-264,728,"COG0172@1|root,COG0172@2|Bacteria,1TP4W@1239|Firmicutes,2485M@186801|Clostridia,36DP4@31979|Clostridiaceae","186801|Clostridia","J","Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)","serS","-","6.1.1.11","ko:K01875","ko00970,map00970","M00359,M00360","R03662,R08218","RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016","-","-","-","Seryl_tRNA_N,tRNA-synt_2b","GCF_000007625.1"
"20501759","1230342.CTM_05451",6.48e-55,174,"COG3862@1|root,COG3862@2|Bacteria,1VK1F@1239|Firmicutes,24QS5@186801|Clostridia,36MQX@31979|Clostridiaceae","186801|Clostridia","S","Protein of unknown function (DUF1667)","-","-","-","-","-","-","-","-","-","-","-","-","DUF1667","GCF_000007625.1"
"20501760","1410653.JHVC01000030_gene2895",3.97e-227,638,"COG0579@1|root,COG1251@1|root,COG0579@2|Bacteria,COG1251@2|Bacteria,1UZX7@1239|Firmicutes,25EC5@186801|Clostridia,36UK2@31979|Clostridiaceae","186801|Clostridia","C","FAD dependent oxidoreductase","-","-","-","-","-","-","-","-","-","-","-","-","DAO,Fer2_BFD","GCF_000007625.1"
"20501761","1230342.CTM_05441",4.18e-295,833,"COG4191@1|root,COG4191@2|Bacteria,1V432@1239|Firmicutes,25GVJ@186801|Clostridia,36V5P@31979|Clostridiaceae","186801|Clostridia","T","His Kinase A (phosphoacceptor) domain","-","-","-","-","-","-","-","-","-","-","-","-","HATPase_c,HisKA,Response_reg","GCF_000007625.1"
"20501762","1230342.CTM_05436",0,1100,"COG1615@1|root,COG1615@2|Bacteria,1TQHM@1239|Firmicutes,248PM@186801|Clostridia,36DY1@31979|Clostridiaceae","186801|Clostridia","S","UPF0182 protein","-","-","-","ko:K09118","-","-","-","-","ko00000","-","-","-","UPF0182","GCF_000007625.1"
"20501763","1410653.JHVC01000030_gene2899",1.92e-66,206,"COG1827@1|root,COG1827@2|Bacteria,1V6EY@1239|Firmicutes,24JF2@186801|Clostridia,36IFU@31979|Clostridiaceae","186801|Clostridia","S","3H domain","niaR","-","-","ko:K07105","-","-","-","-","ko00000","-","-","-","3H,HTH_11","GCF_000007625.1"
"20501764","1230342.CTM_05426",1.64e-48,160,"COG2206@1|root,COG2206@2|Bacteria,1VEWH@1239|Firmicutes,24J88@186801|Clostridia,36JKQ@31979|Clostridiaceae","186801|Clostridia","T","HD domain","-","-","-","-","-","-","-","-","-","-","-","-","HD","GCF_000007625.1"
"20501765","1410653.JHVC01000020_gene4527",0,1260,"COG0188@1|root,COG0188@2|Bacteria,1TP2Z@1239|Firmicutes,2482G@186801|Clostridia,36E5Z@31979|Clostridiaceae","186801|Clostridia","L","A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner","gyrA","-","5.99.1.3","ko:K02469","-","-","-","-","ko00000,ko01000,ko03032,ko03400","-","-","-","DNA_gyraseA_C,DNA_topoisoIV","GCF_000007625.1"
"20501766","1230342.CTM_19969",0,1113,"COG0187@1|root,COG0187@2|Bacteria,1TQ0R@1239|Firmicutes,248AV@186801|Clostridia,36DYE@31979|Clostridiaceae","186801|Clostridia","L","A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner","gyrB","-","5.99.1.3","ko:K02470","-","-","-","-","ko00000,ko01000,ko03032,ko03400","-","-","-","DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim","GCF_000007625.1"
"20501767","332101.JIBU02000034_gene1863",2.22e-31,111,"2E36Q@1|root,32Y6E@2|Bacteria,1VEZV@1239|Firmicutes,24MQP@186801|Clostridia,36KFK@31979|Clostridiaceae","186801|Clostridia","S","Domain of unknown function (DUF370)","-","-","-","-","-","-","-","-","-","-","-","-","DUF370","GCF_000007625.1"
"20501768","1230342.CTM_19979",1.02e-181,514,"COG1195@1|root,COG1195@2|Bacteria,1TP9U@1239|Firmicutes,247KY@186801|Clostridia,36DP1@31979|Clostridiaceae","186801|Clostridia","L","it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP","recF","-","-","ko:K03629","ko03440,map03440","-","-","-","ko00000,ko00001,ko03400","-","-","-","SMC_N","GCF_000007625.1"
"20501769","1410653.JHVC01000020_gene4532",4.21e-201,564,"COG0592@1|root,COG0592@2|Bacteria,1TQ7J@1239|Firmicutes,248EG@186801|Clostridia,36E0C@31979|Clostridiaceae","186801|Clostridia","L","Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria","dnaN","-","2.7.7.7","ko:K02338","ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440","M00260","R00375,R00376,R00377,R00378","RC02795","ko00000,ko00001,ko00002,ko01000,ko03032,ko03400","-","-","-","DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3","GCF_000007625.1"
"20501770","1230342.CTM_19994",1.39e-284,782,"COG0593@1|root,COG0593@2|Bacteria,1TPV7@1239|Firmicutes,2490S@186801|Clostridia,36DSQ@31979|Clostridiaceae","186801|Clostridia","L","it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids","dnaA","-","-","ko:K02313","ko02020,ko04112,map02020,map04112","-","-","-","ko00000,ko00001,ko03032,ko03036","-","-","-","Bac_DnaA,Bac_DnaA_C,DnaA_N","GCF_000007625.1"
"20501771","1410653.JHVC01000020_gene4535",8.31e-46,150,"COG0594@1|root,COG0594@2|Bacteria,1VA78@1239|Firmicutes,24QK5@186801|Clostridia,36KHY@31979|Clostridiaceae","186801|Clostridia","J","RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme","rnpA","-","3.1.26.5","ko:K03536","-","-","-","-","ko00000,ko01000,ko03016","-","-","-","Ribonuclease_P","GCF_000007625.1"
"20501772","1230342.CTM_20014",9.96e-113,328,"COG0706@1|root,COG0706@2|Bacteria,1TQ0J@1239|Firmicutes,247V9@186801|Clostridia,36FE7@31979|Clostridiaceae","186801|Clostridia","U","Membrane protein insertase, YidC Oxa1 family","oxaA","-","-","ko:K03217","ko02024,ko03060,ko03070,map02024,map03060,map03070","M00335","-","-","ko00000,ko00001,ko00002,ko02044,ko03029","2.A.9","-","-","60KD_IMP","GCF_000007625.1"
"20501773","1410653.JHVC01000020_gene4538",6.04e-116,335,"COG1847@1|root,COG1847@2|Bacteria,1V3IN@1239|Firmicutes,249EA@186801|Clostridia,36F11@31979|Clostridiaceae","186801|Clostridia","S","R3H domain protein","jag","-","-","ko:K06346","-","-","-","-","ko00000","-","-","-","Jag_N,KH_4,R3H","GCF_000007625.1"
"20501774","1410653.JHVC01000020_gene4539",5.39e-248,690,"COG0486@1|root,COG0486@2|Bacteria,1TPJF@1239|Firmicutes,248A9@186801|Clostridia,36ECR@31979|Clostridiaceae","186801|Clostridia","J","Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34","mnmE","-","-","ko:K03650","-","-","R08701","RC00053,RC00209,RC00870","ko00000,ko01000,ko03016","-","-","-","MMR_HSR1,MnmE_helical,TrmE_N","GCF_000007625.1"
"20501775","1410653.JHVC01000020_gene4540",0,1018,"COG0445@1|root,COG0445@2|Bacteria,1TQ4B@1239|Firmicutes,247U2@186801|Clostridia,36E85@31979|Clostridiaceae","186801|Clostridia","D","NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34","gidA","-","-","ko:K03495","-","-","R08701","RC00053,RC00209,RC00870","ko00000,ko03016,ko03036","-","-","-","GIDA,GIDA_assoc","GCF_000007625.1"
"20501776","1230342.CTM_20034",1.41e-126,365,"COG0357@1|root,COG0357@2|Bacteria,1TPBT@1239|Firmicutes,247WM@186801|Clostridia,36EMZ@31979|Clostridiaceae","186801|Clostridia","J","Specifically methylates the N7 position of a guanine in 16S rRNA","rsmG","-","2.1.1.170","ko:K03501","-","-","-","-","ko00000,ko01000,ko03009,ko03036","-","-","-","GidB","GCF_000007625.1"
"20501777","1230342.CTM_20039",3.23e-135,388,"COG1475@1|root,COG1475@2|Bacteria,1TP0I@1239|Firmicutes,2488X@186801|Clostridia,36DCH@31979|Clostridiaceae","186801|Clostridia","K","Belongs to the ParB family","noc","-","-","ko:K03497","-","-","-","-","ko00000,ko03000,ko03036,ko04812","-","-","-","ParBc","GCF_000007625.1"
"20501778","1230342.CTM_20044",6.22e-139,397,"COG1192@1|root,COG1192@2|Bacteria,1TP8S@1239|Firmicutes,2488C@186801|Clostridia,36E15@31979|Clostridiaceae","186801|Clostridia","D","sporulation initiation inhibitor protein Soj","soj","-","-","ko:K03496","-","-","-","-","ko00000,ko03036,ko04812","-","-","-","AAA_31","GCF_000007625.1"
"20501779","1230342.CTM_20049",2.81e-113,335,"COG1475@1|root,COG1475@2|Bacteria,1TQ2B@1239|Firmicutes,249VV@186801|Clostridia,36DTS@31979|Clostridiaceae","186801|Clostridia","K","Belongs to the ParB family","spo0J","-","-","ko:K03497","-","-","-","-","ko00000,ko03000,ko03036,ko04812","-","-","-","ParBc","GCF_000007625.1"
"20501780","1230342.CTM_20054",7.91e-70,216,"COG1196@1|root,COG1196@2|Bacteria,1VAV4@1239|Firmicutes,24NPU@186801|Clostridia,36IVR@31979|Clostridiaceae","186801|Clostridia","D","Protein of unknown function (DUF4446)","-","-","-","-","-","-","-","-","-","-","-","-","DUF4446","GCF_000007625.1"
"20501781","1410653.JHVC01000020_gene4547",3.45e-91,271,"2ADZG@1|root,313RY@2|Bacteria,1V6JT@1239|Firmicutes,24JCA@186801|Clostridia,36HYA@31979|Clostridiaceae","186801|Clostridia","S","Sporulation protein YyaC","-","-","-","-","-","-","-","-","-","-","-","-","DUF1256","GCF_000007625.1"
"20501782","1410653.JHVC01000020_gene4548",5.79e-134,392,"COG0628@1|root,COG0628@2|Bacteria,1TS4S@1239|Firmicutes,248E5@186801|Clostridia,36FRI@31979|Clostridiaceae","186801|Clostridia","S","sporulation integral membrane protein YtvI","ytvI","-","-","-","-","-","-","-","-","-","-","-","AI-2E_transport","GCF_000007625.1"
"20501783","1230342.CTM_20094",5.35e-114,337,"COG0668@1|root,COG0668@2|Bacteria,1TR9Z@1239|Firmicutes,24CAG@186801|Clostridia,36EG8@31979|Clostridiaceae","186801|Clostridia","M","mechanosensitive ion channel","mscS","GO:0003674,GO:0005488,GO:0005515,GO:0042802","-","ko:K22044","-","-","-","-","ko00000,ko02000","1.A.23.3","-","-","MS_channel","GCF_000007625.1"
"20501784","1410653.JHVC01000020_gene4553",8.02e-33,114,"COG4481@1|root,COG4481@2|Bacteria,1VEQ7@1239|Firmicutes,24QKA@186801|Clostridia,36MMG@31979|Clostridiaceae","186801|Clostridia","S","Bacterial protein of unknown function (DUF951)","-","-","-","-","-","-","-","-","-","-","-","-","DUF951","GCF_000007625.1"
"20501785","1321778.HMPREF1982_03874",8.66e-56,174,"COG0360@1|root,COG0360@2|Bacteria,1VA18@1239|Firmicutes,24QZQ@186801|Clostridia,269TK@186813|unclassified Clostridiales","186801|Clostridia","J","Binds together with S18 to 16S ribosomal RNA","rpsF","-","-","ko:K02990","ko03010,map03010","M00178","-","-","br01610,ko00000,ko00001,ko00002,ko03011,ko03029","-","-","-","Ribosomal_S6","GCF_000007625.1"
"20501786","1230342.CTM_20109",1.84e-76,230,"COG0629@1|root,COG0629@2|Bacteria,1V3WT@1239|Firmicutes,24HF9@186801|Clostridia,36IQ6@31979|Clostridiaceae","186801|Clostridia","L","Single-stranded DNA-binding protein","ssb3","-","-","ko:K03111","ko03030,ko03430,ko03440,map03030,map03430,map03440","-","-","-","ko00000,ko00001,ko03029,ko03032,ko03400","-","-","-","SSB","GCF_000007625.1"
"20501787","1230342.CTM_20114",1.45e-42,140,"COG0238@1|root,COG0238@2|Bacteria,1V9XS@1239|Firmicutes,24MQV@186801|Clostridia,36KGE@31979|Clostridiaceae","186801|Clostridia","J","Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit","rpsR","-","-","ko:K02963","ko03010,map03010","M00178","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_S18","GCF_000007625.1"
"20501788","1410653.JHVC01000020_gene4565",6.75e-58,180,"2E81H@1|root,332FJ@2|Bacteria,1VEGN@1239|Firmicutes,24NHK@186801|Clostridia,36JMT@31979|Clostridiaceae","186801|Clostridia","S","MazG-like family","-","-","-","-","-","-","-","-","-","-","-","-","MazG-like","GCF_000007625.1"
"20501789","1410653.JHVC01000020_gene4566",1.82e-109,328,"COG4241@1|root,COG4241@2|Bacteria,1V045@1239|Firmicutes,24BZJ@186801|Clostridia,36EI8@31979|Clostridiaceae","186801|Clostridia","S","Predicted membrane protein (DUF2232)","-","-","-","-","-","-","-","-","-","-","-","-","DUF2232","GCF_000007625.1"
"20501790","1230342.CTM_20129",5.78e-299,836,"COG3887@1|root,COG3887@2|Bacteria,1TPGP@1239|Firmicutes,2484R@186801|Clostridia,36E60@31979|Clostridiaceae","186801|Clostridia","T","domain protein","yybT","-","-","-","-","-","-","-","-","-","-","-","DHH,DHHA1","GCF_000007625.1"
"20501791","1487921.DP68_12770",3.38e-64,199,"COG0359@1|root,COG0359@2|Bacteria,1V6QG@1239|Firmicutes,24MT6@186801|Clostridia,36IT5@31979|Clostridiaceae","186801|Clostridia","J","binds to the 23S rRNA","rplI","-","-","ko:K02939","ko03010,map03010","M00178","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L9_C,Ribosomal_L9_N","GCF_000007625.1"
"20501792","1321778.HMPREF1982_02662",0,936,"COG1067@1|root,COG1067@2|Bacteria,1TP2K@1239|Firmicutes,247TX@186801|Clostridia","186801|Clostridia","O","Belongs to the peptidase S16 family","lonC","-","3.4.21.53","ko:K01338,ko:K04076","ko04112,map04112","-","-","-","ko00000,ko00001,ko01000,ko01002","-","-","-","AAA,Lon_C,RuvB_N","GCF_000007625.1"
"20501793","1410653.JHVC01000020_gene4570",7.84e-275,757,"COG0305@1|root,COG0305@2|Bacteria,1TPCT@1239|Firmicutes,247W3@186801|Clostridia,36DTR@31979|Clostridiaceae","186801|Clostridia","L","Participates in initiation and elongation during chromosome replication","dnaB","-","3.6.4.12","ko:K02314","ko03030,ko04112,map03030,map04112","-","-","-","ko00000,ko00001,ko01000,ko03032","-","-","-","DnaB,DnaB_C","GCF_000007625.1"
"20501794","1410653.JHVC01000020_gene4575",1.58e-187,540,"COG1376@1|root,COG1376@2|Bacteria,1V6QN@1239|Firmicutes,24IAP@186801|Clostridia,36IYK@31979|Clostridiaceae","186801|Clostridia","N","ErfK YbiS YcfS YnhG family protein","-","-","-","-","-","-","-","-","-","-","-","-","CW_binding_2,SH3_3,YkuD","GCF_000007625.1"
"20501795","1410653.JHVC01000020_gene4577",2.22e-75,228,"COG4492@1|root,COG4492@2|Bacteria,1VAJ9@1239|Firmicutes,24MTS@186801|Clostridia,36JPZ@31979|Clostridiaceae","186801|Clostridia","S","Belongs to the UPF0735 family","pheB","-","5.4.99.5","ko:K06209","ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230","M00024,M00025","R01715","RC03116","ko00000,ko00001,ko00002,ko01000","-","-","-","ACT,ACT_4","GCF_000007625.1"
"20501796","1410653.JHVC01000020_gene4578",1.66e-20,83.6,"2DR1Y@1|root,339TZ@2|Bacteria,1VK7M@1239|Firmicutes,24UE0@186801|Clostridia,36P19@31979|Clostridiaceae","186801|Clostridia","S","Protein of unknown function (DUF3006)","-","-","-","-","-","-","-","-","-","-","-","-","DUF3006","GCF_000007625.1"
"20501797","1230342.CTM_22606",8.01e-68,211,"COG0558@1|root,COG0558@2|Bacteria,1V35A@1239|Firmicutes,24IIY@186801|Clostridia,36J5D@31979|Clostridiaceae","186801|Clostridia","I","Belongs to the CDP-alcohol phosphatidyltransferase class-I family","pgsA2","-","2.7.8.41,2.7.8.5","ko:K00995,ko:K08744","ko00564,ko01100,map00564,map01100","-","R01801,R02030","RC00002,RC00017,RC02795","ko00000,ko00001,ko01000","-","-","-","CDP-OH_P_transf","GCF_000007625.1"
