"X.query","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs","codigo_genoma"
"20485825","1314.HKU360_00054",6.59e-171,477,"COG0152@1|root,COG0152@2|Bacteria,1TP11@1239|Firmicutes,4H9U8@91061|Bacilli","91061|Bacilli","F","Belongs to the SAICAR synthetase family","purC","-","6.3.2.6","ko:K01923","ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130","M00048","R04591","RC00064,RC00162","ko00000,ko00001,ko00002,ko01000","-","-","-","SAICAR_synt","GCF_000006785.2"
"20485826","1314.HKU360_00055",0,2407,"COG0046@1|root,COG0047@1|root,COG0046@2|Bacteria,COG0047@2|Bacteria,1TPAS@1239|Firmicutes,4HB3N@91061|Bacilli","91061|Bacilli","F","Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL","purL","-","6.3.5.3","ko:K01952","ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130","M00048","R04463","RC00010,RC01160","ko00000,ko00001,ko00002,ko01000","-","-","-","AIRS_C,GATase_5","GCF_000006785.2"
"20485827","1314.HKU360_00056",0,965,"COG0034@1|root,COG0034@2|Bacteria,1TPH3@1239|Firmicutes,4HAXU@91061|Bacilli","91061|Bacilli","F","Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine","purF","-","2.4.2.14","ko:K00764","ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130","M00048","R01072","RC00010,RC02724,RC02752","ko00000,ko00001,ko00002,ko01000,ko01002","-","-","iSB619.SA_RS05225","GATase_6,GATase_7,Pribosyltran","GCF_000006785.2"
"20485828","1314.HKU360_00057",2.94e-238,655,"COG0150@1|root,COG0150@2|Bacteria,1TP9J@1239|Firmicutes,4HABW@91061|Bacilli","91061|Bacilli","F","Phosphoribosylformylglycinamidine cyclo-ligase","purM","-","6.3.3.1","ko:K01933","ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130","M00048","R04208","RC01100","ko00000,ko00001,ko00002,ko01000","-","-","-","AIRS,AIRS_C","GCF_000006785.2"
"20485829","1314.HKU360_00058",8.98e-128,363,"COG0299@1|root,COG0299@2|Bacteria,1V3RJ@1239|Firmicutes,4HVQC@91061|Bacilli","91061|Bacilli","F","Formyl transferase","purN","-","2.1.2.2","ko:K11175","ko00230,ko00670,ko01100,ko01110,ko01130,map00230,map00670,map01100,map01110,map01130","M00048","R04325,R04326","RC00026,RC00197,RC01128","ko00000,ko00001,ko00002,ko01000","-","-","-","Formyl_trans_N","GCF_000006785.2"
"20485830","1314.HKU360_00059",0,1003,"COG0138@1|root,COG0138@2|Bacteria,1TPQ5@1239|Firmicutes,4H9YY@91061|Bacilli","91061|Bacilli","F","Bifunctional purine biosynthesis protein PurH","purH","-","2.1.2.3,3.5.4.10","ko:K00602","ko00230,ko00670,ko01100,ko01110,ko01130,ko01523,map00230,map00670,map01100,map01110,map01130,map01523","M00048","R01127,R04560","RC00026,RC00263,RC00456","ko00000,ko00001,ko00002,ko01000,ko04147","-","-","-","AICARFT_IMPCHas,MGS","GCF_000006785.2"
"20485831","1314.HKU360_00003",2.37e-42,138,"COG4481@1|root,COG4481@2|Bacteria,1VEQ7@1239|Firmicutes,4HNHU@91061|Bacilli","91061|Bacilli","S","Protein conserved in bacteria","yyzM","-","-","-","-","-","-","-","-","-","-","-","DUF951","GCF_000006785.2"
"20485832","1314.HKU360_00008",1.12e-78,234,"COG2919@1|root,COG2919@2|Bacteria","2|Bacteria","D","cell cycle","divIC","-","-","ko:K05589,ko:K13052","-","-","-","-","ko00000,ko03036","-","-","-","DivIC","GCF_000006785.2"
"20485833","1314.HKU360_00007",4.99e-53,167,"COG1188@1|root,COG1188@2|Bacteria,1VEI5@1239|Firmicutes,4HKJJ@91061|Bacilli","91061|Bacilli","J","Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)","yabO","-","-","-","-","-","-","-","-","-","-","-","S4","GCF_000006785.2"
"20485834","1314.HKU360_00010",1.18e-309,843,"COG2367@1|root,COG2367@2|Bacteria","2|Bacteria","V","Beta-lactamase","XK27_09285","-","3.5.2.6","ko:K01467,ko:K17836","ko00311,ko01130,ko01501,ko02020,map00311,map01130,map01501,map02020","M00627,M00628","R06363","RC01499","ko00000,ko00001,ko00002,ko01000,ko01504","-","-","-","Beta-lactamase2,SH3_8","GCF_000006785.2"
"20485835","1314.HKU360_00011",1.49000000000053e-312,851,"COG0037@1|root,COG0037@2|Bacteria,1TPXP@1239|Firmicutes,4H9ZM@91061|Bacilli","91061|Bacilli","D","Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine","tilS","-","2.4.2.8,6.3.4.19","ko:K04075,ko:K15780","ko00230,ko01100,ko01110,map00230,map01100,map01110","-","R01132,R01229,R02142,R09597","RC00063,RC00122,RC02633,RC02634","ko00000,ko00001,ko01000,ko03016","-","-","-","ATP_bind_3,TilS,TilS_C","GCF_000006785.2"
"20485836","1314.HKU360_00049",2.38e-197,557,"COG3883@1|root,COG3942@1|root,COG3883@2|Bacteria,COG3942@2|Bacteria,1VCXB@1239|Firmicutes","1239|Firmicutes","M","CHAP domain protein","p40","-","3.5.1.28","ko:K21471,ko:K22409","-","-","-","-","ko00000,ko01000,ko01002,ko01011","-","CBM50","-","CHAP,LysM","GCF_000006785.2"
"20485837","1314.HKU360_00012",3.15e-126,359,"COG0634@1|root,COG0634@2|Bacteria,1V1C9@1239|Firmicutes,4HFZ2@91061|Bacilli","91061|Bacilli","F","Belongs to the purine pyrimidine phosphoribosyltransferase family","hpt","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464","2.4.2.8,6.3.4.19","ko:K00760,ko:K15780","ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110","-","R00190,R01132,R01229,R02142,R08237,R08238,R08245","RC00063,RC00122","ko00000,ko00001,ko01000,ko03016","-","-","-","Pribosyltran","GCF_000006785.2"
"20485838","1314.HKU360_00006",0,2237,"COG1197@1|root,COG1197@2|Bacteria,1TPF1@1239|Firmicutes,4H9NB@91061|Bacilli","91061|Bacilli","L","Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site","mfd","-","-","ko:K03723","ko03420,map03420","-","-","-","ko00000,ko00001,ko01000,ko03400","-","-","-","CarD_CdnL_TRCF,DEAD,Helicase_C,TRCF","GCF_000006785.2"
"20485839","1314.HKU360_00060",1.15e-284,776,"COG3942@1|root,COG3942@2|Bacteria,1VUNU@1239|Firmicutes,4HVY0@91061|Bacilli","91061|Bacilli","S","CHAP domain","-","-","-","-","-","-","-","-","-","-","-","-","CHAP,SH3_5","GCF_000006785.2"
"20485840","1314.HKU360_00061",5.25e-299,817,"COG0151@1|root,COG0151@2|Bacteria,1UHN9@1239|Firmicutes,4HA70@91061|Bacilli","91061|Bacilli","F","Belongs to the GARS family","purD","-","6.3.4.13","ko:K01945","ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130","M00048","R04144","RC00090,RC00166","ko00000,ko00001,ko00002,ko01000","-","-","-","GARS_A,GARS_C,GARS_N","GCF_000006785.2"
"20485841","1314.HKU360_00062",2.03e-106,309,"COG0041@1|root,COG0041@2|Bacteria,1V1MV@1239|Firmicutes,4HFR7@91061|Bacilli","91061|Bacilli","F","Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR)","purE","-","5.4.99.18","ko:K01588","ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130","M00048","R07405","RC01947","ko00000,ko00001,ko00002,ko01000","-","-","-","AIRC","GCF_000006785.2"
"20485842","1314.HKU360_00063",3.92e-241,665,"COG0026@1|root,COG0026@2|Bacteria,1TQCD@1239|Firmicutes,4H9M5@91061|Bacilli","91061|Bacilli","F","Catalyzes the ATP-dependent conversion of 5- aminoimidazole ribonucleotide (AIR) and HCO(3)(-) to N5- carboxyaminoimidazole ribonucleotide (N5-CAIR)","purK","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464","6.3.4.18","ko:K01589","ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130","M00048","R07404","RC01927","ko00000,ko00001,ko00002,ko01000","-","-","-","2-Hacid_dh_C,ATP-grasp","GCF_000006785.2"
"20485843","697329.Rumal_0669",3.03e-117,365,"arCOG06613@1|root,2Z7VT@2|Bacteria,1UMT0@1239|Firmicutes,25GQ2@186801|Clostridia,3WRY6@541000|Ruminococcaceae","186801|Clostridia","S","AIPR protein","-","-","-","-","-","-","-","-","-","-","-","-","AIPR","GCF_000006785.2"
"20485844","1314.HKU360_00065",2.9e-311,848,"COG0015@1|root,COG0015@2|Bacteria,1TPMM@1239|Firmicutes,4HACW@91061|Bacilli","91061|Bacilli","F","Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily","purB","GO:0003674,GO:0003824,GO:0004018,GO:0006139,GO:0006163,GO:0006164,GO:0006167,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016829,GO:0016840,GO:0016842,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034641,GO:0034654,GO:0044208,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046033,GO:0046390,GO:0046483,GO:0055086,GO:0070626,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576","4.3.2.2","ko:K01756","ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130","M00048,M00049","R01083,R04559","RC00379,RC00444,RC00445","ko00000,ko00001,ko00002,ko01000","-","-","iSB619.SA_RS09895","ADSL_C,Lyase_1","GCF_000006785.2"
"20485845","1314.HKU360_00066",1.36e-213,590,"COG1396@1|root,COG1396@2|Bacteria,1VWIE@1239|Firmicutes","1239|Firmicutes","K","Helix-turn-helix XRE-family like proteins","-","-","-","ko:K20342","ko02024,map02024","-","-","-","ko00000,ko00001,ko03000","-","-","-","HTH_19,HTH_3","GCF_000006785.2"
"20485846","1314.HKU360_00068",5.28e-237,652,"COG2255@1|root,COG2255@2|Bacteria,1TR47@1239|Firmicutes,4HBMW@91061|Bacilli","91061|Bacilli","L","The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing","ruvB","-","3.6.4.12","ko:K03551","ko03440,map03440","-","-","-","ko00000,ko00001,ko01000,ko03400","-","-","-","RuvB_C,RuvB_N","GCF_000006785.2"
"20485847","1314.HKU360_00069",2.47e-106,306,"COG0394@1|root,COG0394@2|Bacteria,1V6SG@1239|Firmicutes,4HIZN@91061|Bacilli","91061|Bacilli","T","Belongs to the low molecular weight phosphotyrosine protein phosphatase family","ptpA","-","3.1.3.48","ko:K01104","-","-","-","-","ko00000,ko01000","-","-","-","LMWPc","GCF_000006785.2"
"20485848","1314.HKU360_00070",1.26e-50,164,"COG4642@1|root,COG4642@2|Bacteria,1V30F@1239|Firmicutes,4I214@91061|Bacilli","91061|Bacilli","S","protein conserved in bacteria","-","-","-","-","-","-","-","-","-","-","-","-","MORN","GCF_000006785.2"
"20485849","1314.HKU360_00071",0,1113,"COG1835@1|root,COG1835@2|Bacteria,1U6DU@1239|Firmicutes,4H9XT@91061|Bacilli","91061|Bacilli","I","Acyltransferase","XK27_09800","-","-","-","-","-","-","-","-","-","-","-","Acyl_transf_3","GCF_000006785.2"
"20485850","1314.HKU360_00072",0,1736,"COG1012@1|root,COG1454@1|root,COG1012@2|Bacteria,COG1454@2|Bacteria,1TPB4@1239|Firmicutes,4HAN8@91061|Bacilli","91061|Bacilli","C","belongs to the iron- containing alcohol dehydrogenase family","adhE","-","1.1.1.1,1.2.1.10","ko:K04072","ko00010,ko00071,ko00350,ko00620,ko00625,ko00626,ko00650,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00620,map00625,map00626,map00650,map01100,map01110,map01120,map01130,map01220","-","R00228,R00623,R00754,R01172,R04880,R05233,R05234,R06917,R06927","RC00004,RC00050,RC00088,RC00099,RC00116,RC00184,RC00649,RC01195","ko00000,ko00001,ko01000","-","-","iSB619.SA_RS00885","Aldedh,Fe-ADH","GCF_000006785.2"
"20485851","1314.HKU360_00074",1.3e-240,661,"COG1064@1|root,COG1064@2|Bacteria,1TP5B@1239|Firmicutes,4HA9Z@91061|Bacilli","91061|Bacilli","C","alcohol dehydrogenase","adhP","-","1.1.1.1","ko:K00001,ko:K13953","ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220","-","R00623,R00754,R02124,R04805,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310","RC00050,RC00087,RC00088,RC00099,RC00116,RC00649,RC01734,RC02273","ko00000,ko00001,ko01000","-","-","-","ADH_N,ADH_zinc_N","GCF_000006785.2"
"20485852","1314.HKU360_00075",7.87e-286,783,"COG0534@1|root,COG0534@2|Bacteria,1TQMT@1239|Firmicutes,4H9Y2@91061|Bacilli","91061|Bacilli","V","Mate efflux family protein","norN","-","-","-","-","-","-","-","-","-","-","-","MatE","GCF_000006785.2"
"20485853","1123311.KB904515_gene1745",3.02e-64,196,"COG0051@1|root,COG0051@2|Bacteria,1V6C9@1239|Firmicutes,4HIKH@91061|Bacilli","91061|Bacilli","J","Involved in the binding of tRNA to the ribosomes","rpsJ","GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02946","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_S10","GCF_000006785.2"
"20485854","759913.SDSE_0073",1.06e-140,398,"COG0087@1|root,COG0087@2|Bacteria,1TPFT@1239|Firmicutes,4HAEN@91061|Bacilli,1M8UB@119603|Streptococcus dysgalactiae group","91061|Bacilli","J","One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit","rplC","GO:0008150,GO:0009893,GO:0010468,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0044087,GO:0044089,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0090069,GO:0090070,GO:2000232,GO:2000234","-","ko:K02906","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L3","GCF_000006785.2"
"20485855","1314.HKU360_00078",6.11e-135,383,"COG0088@1|root,COG0088@2|Bacteria,1TPGW@1239|Firmicutes,4HB01@91061|Bacilli","91061|Bacilli","J","Forms part of the polypeptide exit tunnel","rplD","GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02926","ko03010,map03010","M00178","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L4","GCF_000006785.2"
"20485856","1314.HKU360_00079",2.09e-60,186,"COG0089@1|root,COG0089@2|Bacteria,1VA4W@1239|Firmicutes,4HKCV@91061|Bacilli","91061|Bacilli","J","One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome","rplW","GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02892","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L23","GCF_000006785.2"
"20485857","1314.HKU360_00080",1.76e-183,511,"COG0090@1|root,COG0090@2|Bacteria,1TP9X@1239|Firmicutes,4HAE8@91061|Bacilli","91061|Bacilli","J","One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity","rplB","GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02886","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L2,Ribosomal_L2_C","GCF_000006785.2"
